10,10,,,
新北市永和區雙和街52巷14號,0,0,0,1
新北市永和區永平路147號,1,0,0,0
新北市永和區保平路236巷15弄2號,0,1,0,0
新北市永和區環河西路209巷27號2樓,0,0,1,0
新北市永和區中興街84巷5號2樓,1,0,0,0
新北市永和區民樂街39巷2號,0,0,0,1
新北市永和區國光路29號,1,0,0,0
新北市永和區光復街15號,0,1,0,0
新北市永和區豫溪街70號,0,0,1,0
新北市中和區光華街59號,1,0,0,0
新北市永和區勵行街29巷9號,9,1,,
新北市永和區得和路269號2樓,4,1,,
新北市永和區秀朗路2段24巷22號2樓,4,1,,
新北市永和區安樂路272巷9弄3號,1,1,,
新北市永和區環河東路1段108號,5,8,,
新北市永和區秀和里林森路44巷6弄12號2樓,6,1,,
新北市永和區永利路94巷5弄7號,6,1,,
新北市永和區新生路121巷4弄15號2樓,2,5,,
新北市永和區永平路302巷9弄2號4樓,4,1,,
新北市永和區福和路237巷1號,3,1,,